Sentence_ID,Token,Label
74,yeah,n
74,",",n
74,zieh,n
74,den,n
74,carlo,n
74,aus,n
74,",",n
74,du,n
74,nuttensohn,B-B
74,",",n
74,sonny,n
74,bounct,n
74,den,n
74,beat,n
74,–,n
74,mission,n
74,complete,n
74,.,n
19,politiker,n
19,sind,n
19,alles,n
19,abschaum,B-B
19,!,n
119,haiti,n
119,like,n
119,ghetto-scheißlöcher,B-B
119,across,n
119,america,n
119,is,n
119,an,n
119,open,n
119,finanzkanalisation,n
119,throw,n
119,billions,n
119,at,n
119,the,n
119,place,n
119,and,n
119,you,n
119,will,n
119,not,n
119,even,n
119,see,n
119,where,n
119,the,n
119,geld,n
119,ging,n
119,weiß,n
119,do,n
119,not,n
119,have,n
119,the,n
119,stomach,n
119,to,n
119,rule,n
119,these,n
119,places,n
119,like,n
119,they,n
119,need,n
119,to,n
119,be,n
119,ruled,n
119,with,n
119,strongmen,n
119,.,n
79,weswegen,n
79,hab,n
79,ich,n
79,immer,n
79,wieder,n
79,trouble,n
79,mit,n
79,den,n
79,cops,n
79,",",n
79,raum,n
79,voller,n
79,bitches,B-B
79,",",n
79,aber,n
79,trotzdem,n
79,bin,n
79,ich,n
79,lost,n
79,.,n
77,me,n
77,",",n
77,myself,n
77,und,n
77,meine,n
77,dna,n
77,",",n
77,versace-nutten,B-B
77,machen,n
77,blowjob,B-B
77,klar,n
77,.,n
32,i,n
32,could,n
32,argue,n
32,that,n
32,calling,n
32,someone,n
32,a,n
32,pathetic,B-B
32,dumb,B
32,bitch,B
32,is,n
32,a,n
32,character,n
32,flaw,n
32,too,n
32,",",n
32,but,n
32,i,n
32,really,n
32,think,n
32,that,n
32,character,n
32,is,n
32,much,n
32,easier,n
32,to,n
32,see,n
32,if,n
32,you,n
32,have,n
32,a,n
32,discussion,n
32,with,n
32,someone,n
32,about,n
32,what,n
32,they,n
32,mean,n
32,by,n
32,their,n
32,words,n
32,",",n
32,even,n
32,if,n
32,they,n
32,do,n
32,n't,n
32,choose,n
32,good,n
32,ones,n
32,in,n
32,the,n
32,first,n
32,place,n
32,.,n
65,where,n
65,life,n
65,4,n
65,me,n
65,was,n
65,n't,n
65,always,n
65,good,n
65,",",n
65,ich,n
65,weiß,n
65,",",n
65,das,n
65,war,n
65,wack,n
65,und,n
65,weit,n
65,entfernt,n
65,vom,n
65,don,n
65,",",n
65,doch,n
65,ich,n
65,hab,n
65,den,n
65,shit,B-B
65,als,n
65,erster,n
65,von,n
65,uns,n
65,ernst,n
65,genommen,n
65,.,n
142,nearly,n
142,all,n
142,her,n
142,fans,n
142,are,n
142,weiße,n
142,kaukasier,n
142,how,n
142,ironisch,n
142,.,n
69,scheißegal,B-B
69,",",n
69,denn,n
69,was,n
69,raus,n
69,muss,n
69,",",n
69,muss,n
69,raus,n
69,",",n
69,ich,n
69,rechnete,n
69,ab,n
69,und,n
69,die,n
69,crowd,n
69,rastet,n
69,aus,n
69,.,n
83,ich,n
83,überschwemme,n
83,diese,n
83,straßen,n
83,",",n
83,crime,n
83,pays,n
83,",",n
83,du,n
83,bist,n
83,ne,n
83,pussy,B-B
83,",",n
83,du,n
83,weißt,n
83,",",n
83,wovon,n
83,ich,n
83,rede,n
83,.,n
111,for,n
111,milliarden,n
111,menschen,n
111,jesus,n
111,let,n
111,the,n
111,mittlerer,n
111,osten,n
111,enslave,n
111,the,n
111,muslims,n
111,and,n
111,let,n
111,the,n
111,sandniggers,B-B
111,suffer,n
111,why,n
111,is,n
111,that,n
111,so,n
111,fucking,B-B
111,hard,n
111,to,n
111,grasp,n
13,fox,n
13,überträgt,n
13,halt,n
13,keine,n
13,unterhaus-debatten,n
13,und,n
13,was,n
13,anderes,n
13,guckt,n
13,der,n
13,trottel,B-B
13,ja,n
13,nicht,n
13,.,n
37,it,n
37,was,n
37,an,n
37,open,n
37,secret,n
37,in,n
37,the,n
37,wehrmacht,n
37,that,n
37,treating,n
37,the,n
37,slavs,n
37,in,n
37,poland,n
37,as,n
37,sub-human,B-B
37,was,n
37,acceptable,n
37,",",n
37,in,n
37,fact,n
37,it,n
37,was,n
37,encouraged,n
37,.,n
10,genausowenig,n
10,möchten,n
10,die,n
10,allermeisten,n
10,afrodeutschen,n
10,nicht,n
10,als,n
10,mohr,B-B
10,oder,n
10,neger,B-B
10,bezeichnet,n
10,werden,n
10,.,n
20,niemand,n
20,mag,n
20,klugscheisser,B-B
20,.,n
